geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000963,213,3252,6.55%,42,722,5.82%
E02000964,324,4437,7.30%,56,1174,4.77%
E02000965,261,3912,6.67%,50,1154,4.33%
E02000966,248,4161,5.96%,81,1259,6.43%
E02000967,130,2998,4.34%,661,10697,6.18%
E02000968,145,3699,3.92%,224,4033,5.55%
E02000969,145,2760,5.25%,145,2530,5.73%
E02000970,189,3908,4.84%,1872,38821,4.82%
E02000971,197,3368,5.85%,444,11814,3.76%
E02000972,159,3507,4.53%,6951,104427,6.66%
E02000973,342,4507,7.59%,132,2212,5.97%
E02000974,145,2845,5.10%,606,12402,4.89%
E02000975,284,4047,7.02%,396,7596,5.21%
E02000976,292,4248,6.87%,207,4401,4.70%
E02000977,123,3035,4.05%,6990,116743,5.99%
E02000978,106,2661,3.98%,1526,19054,8.01%
E02000979,132,3269,4.04%,3560,60335,5.90%
E02000980,193,3551,5.44%,584,8024,7.28%
E02000981,338,4458,7.58%,126,2880,4.38%
E02000982,165,3151,5.24%,842,14147,5.95%
E02000983,195,3394,5.75%,77,1217,6.33%
E02004543,6,1854,0.32%,3,320,0.94%
E02006322,89,1776,5.01%,34,483,7.04%
E02006782,49,2628,1.86%,6,529,1.13%
E02006783,45,2265,1.99%,18,843,2.14%
E02006784,43,2363,1.82%,15,635,2.36%
E02006785,29,2187,1.33%,2,260,0.77%
E02006786,31,2233,1.39%,4,301,1.33%
E02006787,79,2965,2.66%,49,1858,2.64%
E02006788,50,2659,1.88%,8,512,1.56%
E02006789,14,1817,0.77%,20,1640,1.22%
E02006791,222,3022,7.35%,55,623,8.83%
E02006792,206,3524,5.85%,649,10815,6.00%
E02006793,30,2374,1.26%,55,3264,1.69%
E02006794,51,1851,2.76%,81,2198,3.69%
E02006795,17,2818,0.60%,2,454,0.44%
E02006796,44,3036,1.45%,170,3977,4.27%
E02006798,118,2790,4.23%,123,2232,5.51%
E02006799,42,2762,1.52%,18,1379,1.31%
E02006800,41,4006,1.02%,11,1468,0.75%
E02006801,237,3416,6.94%,1880,28220,6.66%
E02006802,230,2865,8.03%,739,9991,7.40%
E02006853,73,3169,2.30%,40,1617,2.47%
E02006854,51,3078,1.66%,2616,76301,3.43%
E02006882,29,5007,0.58%,46,2470,1.86%
E02006918,271,2274,11.92%,39,616,6.33%
E02006921,198,2059,9.62%,21,495,4.24%
E02006924,41,3918,1.05%,22,1653,1.33%
