id,lat,lon,date,borough,severity,casualties_num
736923,51.560113,-0.06300399999999999,2019-10-24 18:22:00+00:00,Hackney,Slight,1
736929,51.483309,-0.174597,2019-10-25 09:30:00+00:00,Kensington and Chelsea,Slight,1
736933,51.509344,-0.143208,2019-10-25 16:17:00+00:00,City of Westminster,Slight,1
736938,51.476117,-0.048046,2019-10-24 19:42:00+00:00,Lewisham,Slight,1
736940,51.504172,0.11841399999999999,2019-10-25 18:00:00+00:00,Greenwich,Slight,1
736941,51.583314,-0.09985000000000001,2019-10-25 17:18:00+00:00,Haringey,Slight,1
736946,51.527271,-0.114784,2019-10-15 10:55:00+00:00,Islington,Slight,1
736949,51.530053,-0.077314,2019-10-25 20:00:00+00:00,Hackney,Serious,1
736955,51.588203,-0.34355,2019-10-25 18:29:00+00:00,Harrow,Slight,1
736957,51.483052,-0.185856,2019-10-25 17:30:00+00:00,Kensington and Chelsea,Slight,1
736958,51.557079,-0.045404,2019-10-25 21:00:00+00:00,Hackney,Serious,1
721385,51.514188,-0.153878,2019-03-13 17:20:00+00:00,City of Westminster,Slight,1
721394,51.480087,-0.181365,2019-03-13 23:35:00+00:00,Kensington and Chelsea,Slight,1
721395,51.494091,0.14366299999999999,2019-03-14 05:30:00+00:00,Bexley,Slight,1
721398,51.450089,-0.280408,2019-03-13 15:00:00+00:00,Richmond upon Thames,Slight,1
721405,51.494698,-0.100757,2019-03-14 09:10:00+00:00,Southwark,Slight,1
721408,51.497235,-0.146336,2019-03-14 09:29:00+00:00,City of Westminster,Slight,1
721411,51.48577,-0.134458,2019-03-14 08:26:00+00:00,City of Westminster,Serious,1
721412,51.489499,-0.065451,2019-03-14 08:30:00+00:00,Southwark,Slight,1
721413,51.565174,-0.033124,2019-03-14 07:15:00+00:00,Waltham Forest,Slight,1
721417,51.532827,0.110719,2019-03-14 12:20:00+00:00,Barking and Dagenham,Slight,1
721423,51.587065,-0.041965999999999996,2019-03-13 19:02:00+00:00,Waltham Forest,Slight,1
