,cord,feature_type,BOROUGH,FEATURE_ID,SVDATE,SIG_HEAD,SIG_SEPARA,SIG_EARLY,SIG_TWOSTG,SIG_GATE,PHOTO1_URL,PHOTO2_URL,cord_X,cord_Y
77,"[-0.0732845721, 51.5099995106]",Point,Tower Hamlets,RWG064247,2017-06-30,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064247_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064247_2.jpg,-0.0732845721, 51.5099995106
78,"[-0.0696849682, 51.5159950307]",Point,Tower Hamlets,RWG064317,2017-09-05,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064317_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064317_2.jpg,-0.0696849682, 51.5159950307
79,"[-0.0693418804, 51.5161566176]",Point,Tower Hamlets,RWG064315,2017-09-05,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064315_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064315_2.jpg,-0.0693418804, 51.5161566176
80,"[-0.1277833414, 51.5247939318]",Point,Camden,RWG064208,2017-06-29,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064208_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064208_2.jpg,-0.1277833414, 51.5247939318
81,"[-0.1349919862, 51.5213500719]",Point,Camden,RWG064239,2017-06-30,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064239_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064239_2.jpg,-0.1349919862, 51.5213500719
82,"[-0.139505442, 51.5009946505]",Point,Westminster,RWG152596,2017-12-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG152596_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG152596_2.jpg,-0.139505442, 51.5009946505
83,"[-0.1363357285, 51.5038330738]",Point,Westminster,RWG064203,2017-06-29,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064203_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064203_2.jpg,-0.1363357285, 51.5038330738
84,"[-0.1297438536, 51.501409087]",Point,Westminster,RWG064205,2017-06-29,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064205_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064205_2.jpg,-0.1297438536, 51.501409087
85,"[-0.1339844941, 51.500988989]",Point,Westminster,RWG152590,2017-12-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG152590_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG152590_2.jpg,-0.1339844941, 51.500988989
86,"[-0.1417969357, 51.5022084508]",Point,Westminster,RWG152602,2017-12-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG152602_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG152602_2.jpg,-0.1417969357, 51.5022084508
